,origin,destination,aircraft_number,distances,doc,demand,revenue,active_arcs,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
80,CD9,CD1,6.0,336,9741.0,324.0,21240.0,1,0.776161616161616,70.0,1055.853749640845,157.57058160285337,9.66558224192503,3.1424218739310867,4.656969696969696,6335.12249784507,0.4430961832306015,2016.0,420.0,58446.0,945.4234896171201
81,CD9,CD2,4.0,690,5646.0,227.0,7080.0,1,0.7824242424242422,70.0,2031.2521864602363,204.58877514162188,8.183108606405952,2.943843748493096,3.129696969696969,8125.008745840945,0.3153236057794537,2760.0,280.0,22584.0,818.3551005664875
82,CD9,CD3,5.0,561,38048.0,255.0,56640.0,1,0.7824242424242422,70.0,1671.4582109758421,187.32559543357704,8.478168985343817,2.9794264010264566,3.9121212121212112,8357.29105487921,0.3894472042111636,2805.0,350.0,190240.0,936.6279771678852
83,CD9,CD4,5.0,519,13425.0,255.0,21240.0,1,0.776161616161616,70.0,1547.491013984222,182.26195065976765,8.623399837774992,2.9816782543048594,3.8808080808080803,7737.45506992111,0.38915308194552295,2595.0,350.0,67125.0,911.3097532988382
84,CD9,CD5,3.0,977,38230.0,150.0,35400.0,1,0.7949494949494949,70.0,2878.2603586217433,241.22170129560615,7.826850697264351,2.946018790810382,2.3848484848484848,8634.78107586523,0.23631810204038167,2931.0,210.0,114690.0,723.6651038868184
85,CD9,CD6,3.0,741,11986.0,175.0,14160.0,1,0.7886868686868687,70.0,2183.5207845112354,210.79469673451652,8.088939574161957,2.9467217064928954,2.366060606060606,6550.562353533706,0.23626173034446615,2223.0,210.0,35958.0,632.3840902035496
86,CD9,CD7,3.0,421,7624.0,144.0,14160.0,1,0.776161616161616,70.0,1282.035591648844,169.03800501706243,9.055740291224053,3.0452151820637625,2.328484848484848,3846.106774946532,0.22862015575128974,1263.0,210.0,22872.0,507.11401505118727
87,CD9,CD8,2.0,922,0.0,63.0,0.0,1,0.7949494949494949,70.0,2718.084670153117,234.03490829405516,7.873988935514087,2.9480310956107556,1.5898989898989897,5436.169340306234,0.157437862003595,1844.0,140.0,0.0,468.0698165881103
88,CD9,CD9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
89,CD9,CD10,5.0,327,3188.0,260.0,7080.0,1,0.776161616161616,70.0,1032.119606450488,156.35644463482228,9.750621674279184,3.15632907171403,3.8808080808080803,5160.598032252439,0.36761986968696236,1635.0,350.0,15940.0,781.7822231741114
90,CD10,CD1,4.0,154,10365.0,188.0,35400.0,1,0.5757575757575757,70.0,533.0058918628439,136.61054613281823,13.46692764114669,3.4610772198885966,2.3030303030303028,2132.0235674513756,0.268200726725197,616.0,280.0,41460.0,546.4421845312729
91,CD10,CD2,6.0,427,15368.0,322.0,28320.0,1,0.776161616161616,70.0,1294.5487916911306,169.60699501781423,8.99828956048019,3.0317301913141232,4.656969696969696,7767.292750146784,0.4592740945181789,2562.0,420.0,92208.0,1017.6419701068853
92,CD10,CD3,4.0,258,8217.0,192.0,21240.0,1,0.7135353535353535,70.0,815.1889335613445,148.63653208612132,10.616860491716983,3.1596470293075365,2.854141414141414,3260.755734245378,0.29378706450941233,1032.0,280.0,32868.0,594.5461283444853
93,CD10,CD4,5.0,326,12700.0,256.0,28320.0,1,0.7698989898989899,70.0,1020.2613068898307,156.37444989542718,9.740613239009978,3.1296359107050025,3.8494949494949493,5101.306534449153,0.37075535785608343,1630.0,350.0,63500.0,781.8722494771359
94,CD10,CD5,4.0,670,21984.0,183.0,28320.0,1,0.7824242424242422,70.0,1964.291632357529,201.96524016459975,8.204108095172208,2.931778555757506,3.129696969696969,7857.166529430116,0.3166212617945504,2680.0,280.0,87936.0,807.860960658399
95,CD10,CD6,3.0,463,8168.0,171.0,14160.0,1,0.776161616161616,70.0,1391.6789227543004,174.46864188250026,8.82274124356918,3.0057860102684675,2.328484848484848,4175.036768262901,0.2316191395000296,1389.0,210.0,24504.0,523.4059256475008
96,CD10,CD7,2.0,375,6978.0,99.0,14160.0,1,0.7886868686868687,70.0,1161.3793724522875,162.12772200142896,9.304393670920591,3.097011659872767,1.5773737373737373,2322.758744904575,0.14986437372087286,750.0,140.0,13956.0,324.2554440028579
97,CD10,CD8,2.0,670,10992.0,78.0,14160.0,1,0.7824242424242422,70.0,1964.291632357529,201.96524016459975,8.204108095172208,2.931778555757506,1.5648484848484845,3928.583264715058,0.1583106308972752,1340.0,140.0,21984.0,403.9304803291995
98,CD10,CD9,5.0,327,3174.0,260.0,7080.0,1,0.7886868686868687,70.0,1033.6051356633566,155.7539211211678,9.706959534654464,3.1608719745056777,3.943434343434343,5168.025678316782,0.3670915150602214,1635.0,350.0,15870.0,778.7696056058389
99,CD10,CD10,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
